lid,zd,vdatum,lat,lon,elev
KMPS2,1700,NGVD29,44.917222,97.187222,1697.9
LANS2,,,45.057222222222,101.46777777778,1700
LFIS2,1400,NGVD29,44.351944,100.358611,1400
LIES2,1624.63,NGVD29,45.657778,100.817778,1624.6
LYMX5,,,43.9536111111111,99.9827777777778,0
MAPS2,1365,NGVD29,45.938889,98.452222,1365
MARX5,,,45.7658333333333,97.5844444444444,0
MCPX5,,,45.7625,99.1852777777778,0
MCTS2,,,45.915555555556,101.3475,0
MUSM5,,,45.813889,96.508889,0
ORDS2,1300,NGVD29,45.562222,98.4125,1300
ORTM5,956.38,NGVD29,45.295556,96.443889,956.4
PIES2,0,USGS WRD-SD,44.458333,100.390278,1620
PIRS2,1414.26,NGVD29,44.373056,100.3675,1735
PONS2,,,44.596111,97.0275,1750
POTX5,,,45.0961111111111,99.9402777777778,0
PRES2,,,44.019444444444,100.35305555556,2106
PVRS2,1016.73,NGVD88,45.615833,96.875556,1016.7
RAUS2,1757.11,NGVD29,45.008333,97.105833,1757.8
RFDS2,1239.5,NGVD29,44.910556,98.471667,1239.5
ROSS2,,,45.4463888888889,99.3386111111111,1830
RVLS2,1735.43,NGVD29,44.953056,97.106389,1735.5
SFDS2,1254.29,NGVD29,45.241667,98.391111,1254
SNKS2,1265,NGVD29,44.959167,98.515278,1265
SOSS2,,,45.107777777778,97.102222222222,1800
SPIX5,,,44.9916666666667,98.3591666666667,0
STNX5,,,44.5244444444444,100.875277777778,0
SULX5,,,44.7283333333333,100.12,0
TRAM5,965,,45.768611,96.638333,965
TRAX5,,,45.7791666666667,96.4219444444445,0
WALX5,,,45.4316666666667,100.074722222222,0
WBSS2,1710,NAVD88,44.9425,97.145833,1710
WBWS2,1701.41,NGVD29,44.889444,97.118611,1701.5
WEAM5,973.3,,45.820833,96.490278,973.3
WESS2,1309.3,NGVD29,45.656111,98.496667,1309
WHIS2,1661.48,NGVD29,45.255833,100.8425,1661
WHRM5,960,USACE 1912,45.8625,96.573611,1024
WKPS2,1690,NGVD29,45.711944,100.558889,1690
WRTS2,,,44.902777777778,97.113611111111,1750
WTRS2,1725,NAVD88,45.006111,97.164722,1726
WVYS2,0,,44.999722222222,96.973888888889,0
WWCS2,1731.29,NGVD29,44.918889,97.045278,1731.3
46003,0,,51.851388888889,156.05888888889,0
ABDA2,,,61.143888888889,149.90611111111,75
ACKA2,,,51.316666666667,179.09777777778,0
ACR,,,61.133333333333,149.96111111111,134
ACSA2,10,NGVD29,61.416666666667,150.59305555556,40
ADKA2,,,51.863333333333,176.63166666667,0
AHSA2,,,61.108333333333,149.78611111111,639
AKIA2,,,52.030555555556,172.06666666667,0
AKKA2,0,NGVD29,60.910555555556,161.21222222222,30.5
AKVA2,,,62.745833333333,150.13111111111,0
ALDA2,,,61.2,149.83,125
ALGA2,,,56.455,158.92638888889,0
ALNA2,,,60.153994,158.733333,550
ALPA2,0,,61.23,149.69,300
ERHA2,,,61.316388888889,149.54472222222,0
ALSA2,0,,60.195833333333,154.32,321
ALXA2,,,61.75,150.88333333333,140
ALYK1,0,,60.958611111111,149.11111111111,250
AMAA2,,,58.915,151.95166666667,120
AMBA2,,,61.583333333333,159.57694444444,95
ANCCT,0,,61.187222222222,149.71861111111,300
ANCFO,0,,61.156388888889,149.98277777778,134
ANDA2,0,,61.624444444444,149.33972222222,495
ANKA2,57.89,NGVD29,61.576111111111,159.52083333333,91.4
ANTA2,,,61.233889,149.883889,0
APBA2,0,NGVD29,59.772222,151.836389,33.2
APTA2,168.64,NGVD29,59.747222,151.753056,168.64
APUA2,0,,61.188333333333,149.80555555556,220
AQYA2,0,,60.949166666667,149.15722222222,58
ARAQ9,,,61.184444,136.99,2980
ARDA2,,,59.87,151.31666666667,1600
ARKA2,,,61.25,149.25,3000
ARLA2,,,61.8,149.2,2200
AUGA2,,,59.378333333333,153.34833333333,30
AVFA2,,,61.233333333333,149.55,2030
AVOA2,,,61.233333333333,149.65,500
AVRA2,,,61.233333333333,149.58333333333,1450
AVTA2,,,61.233333333333,149.61666666667,1000
AYBA2,,,60.959166666667,149.10805555556,250
AYMA2,,,60.962222222222,149.08972222222,1500
AYTA2,,,60.962777777778,149.06888888889,2750
BATA2,,,59.762222,150.953056,0
BAYA2,,,61.129444444444,149.93972222222,0
BBSA2,0,,58.55,152.61666666667,23
BCDA2,,,59.745833333333,150.83944444444,1350
BCGA2,,,59.738611111111,150.89694444444,0
BDKA2,,NGVD29,61.335555555556,145.30722222222,1300
BDVA2,0,,60.493333333333,149.75666666667,631
BEFA2,0,,61.563333333333,149.15416666667,127
BERA2,,,60.75,149.25,950
BETA2,0,MLLW,60.793333,161.745556,10
